u,v,length_m
108153168,108154281,43.7459865213611
108153168,10665881696,80.17631143413452
108154281,1354143327,126.07961441121509
108154281,1831705163,82.1248455659708
108161118,10665881696,6.500750203455178
108161118,1354143294,45.597503906285304
108161118,2981967064,801.7947255302352
257946454,1658531432,80.28661985365244
257946454,316629607,15.966579752387295
257946454,416641050,98.609102754383
263106951,2086871506,177.80560107066833
263106951,4003442657,81.10143273406383
263360959,3484320795,45.55826452711233
263360959,408629881,88.13619258586058
263360959,1658531423,91.86866410564633
316624781,1047203614,21.914039452009646
316624781,316624803,91.03223080900088
316624796,316635801,82.28665725498796
316624796,316635807,68.1468817012861
316624796,3743408024,15.63224470109053
316624803,10023071790,191.1949837630373
316624803,316635156,6.615301636887317
316625017,10019632227,18.3213070933047
316625017,1841915496,63.71508824827708
316625017,392154192,255.51083561532903
316626840,5734541275,19.61327660145335
316626840,2833127114,126.32928417961284
316628698,10988861731,382.4694972055372
316628698,6290791555,35.925480193791465
316628701,471578682,116.64893117470284
316628701,1578886609,99.34288916888885
316629267,411941649,79.11070742704909
316629267,408630227,22.681073829772345
316629267,5874072772,101.07415743220764
316629275,316629276,12.45494969585529
316629275,5874072761,100.77985147794953
316629275,412189107,71.20190814345806
316629276,316629278,60.56240521564729
316629276,5874072762,100.64989751168031
316629278,412189182,100.08175352572984
316629278,4172468621,43.694765220820116
316629281,316629287,152.8175252261607
316629281,412189184,16.857670834034323
316629281,5874072908,99.37646275171613
316629287,316629288,24.63361000525041
316629287,316629438,100.2136148425307
316629288,408630227,84.75575741155836
316629288,316629439,100.31354959807123
316629414,412189105,114.96870410469754
316629414,5874072954,49.945333398988154
316629414,316629416,50.140858967979696
316629416,412189088,119.20911140284886
316629416,316629417,28.33768056706612
316629417,316629418,36.53874254885845
316629417,412189107,100.73556285539264
316629418,412189113,175.03866244906789
316629418,5874072761,109.57275873004578
316629422,412189198,119.97739447561376
316629422,5874072762,54.3942595084231
316629422,412189182,61.85022859342495
316629427,412189200,58.58105797757516
316629427,412189182,63.3414747784831
316629427,4172468620,23.141884191702243
316629435,411809489,41.02702132250984
316629435,316629436,55.46780338256998
316629435,1658531441,55.821032920009785
316629436,2177261770,75.80210081526123
316629436,316629438,89.25590404753451
316629438,408629729,155.53880010553382
316629438,316629439,24.74880427220204
316629439,408629820,155.29991066927985
316629439,408630324,88.0502779945359
316629519,411809455,87.81701230773344
316629519,4927554323,49.56125172898522
316629519,416639187,22.278164515290637
316629519,3484320795,58.17601353468819
316629520,416638961,20.88425784742579
316629520,1273607335,90.64747379801003
316629520,4442803306,27.55582926153698
316629520,4927554323,59.24542485945712
316629520,5491440835,59.56725408210019
316629521,316629522,81.93107517833155
316629521,412189190,19.94191636833492
316629521,412189186,16.089812938187723
316629521,5874072909,95.27525197881255
316629522,316629524,140.6839945477755
316629522,412189200,133.21317004359645
316629522,4356497992,21.54572236837747
316629524,4138998030,8.261839244960136
316629524,316629587,19.211215139697114
316629527,416646533,19.7196997907541
316629527,6302785498,123.49608179919721
316629527,412189078,71.93023373118152
316629527,3235587567,12.379981840951915
316629528,4365200065,41.813656851801966
316629528,4411745640,17.821470312002706
316629528,412191447,98.39102799741681
316629529,4053998977,14.547338321385281
316629529,416139474,115.24860242564739
316629529,412191505,216.01092606860433
316629529,416152842,20.880620565457374
316629530,316629584,18.87826553501526
316629530,416139607,207.43632862366724
316629530,3420006251,46.04302254675479
316629530,4053998977,18.21547271001338
316629535,6290791555,237.38573756850576
