CRIME_ID,latitude,longitude,nearest_node,snap_dist_m
21193887.0,-12.14746336,-77.01794974,434289146,28.504059605563523
21166332.0,-12.15311316,-77.02294214,1838358319,35.493707147463695
24736491.0,-12.13927059,-77.01382761,391020809,98.7680241645287
24528051.0,-12.14286621,-77.01467236,678989826,30.437297273888227
20987922.0,-12.14675697,-77.01956704,434289143,9.229845575506856
20899542.0,-12.14993995,-77.01740292,678989753,29.158459192215876
22721490.0,-12.1479559,-77.0200154,316634032,3.005797007158442
24937479.0,-12.14175069,-77.01391071,371265034,20.693182689822077
22500792.0,-12.14248425,-77.02317161,391009551,21.919051730179632
20880195.0,-12.13852173,-77.01485989,391020810,89.36178875745006
20670558.0,-12.13847016,-77.02056617,4271747836,15.608322291206683
22879674.0,-12.14165061,-77.01777247,316633867,27.8436695596549
20889798.0,-12.1468932,-77.0184112,434289145,19.266200849355602
24356772.0,-12.14665978,-77.01959681,434289143,15.471569295680803
22356519.0,-12.14250014,-77.02213881,391012566,36.305807719248556
25329507.0,-12.13963993,-77.01790054,4266808709,67.369307224306
22407732.0,-12.14015072,-77.01280245,678989885,59.401746016031275
20984895.0,-12.14999061,-77.01741542,678989753,27.91696852950787
20373024.0,-12.14697711,-77.01667932,434289247,55.1162665815513
21369846.0,-12.14182813,-77.01781016,316634026,8.421874541664117
22640523.0,-12.1393471,-77.0138509,391020809,90.71639424596144
20093358.0,-12.15360336,-77.01914561,459457260,28.42689571962813
25372824.0,-12.14710836,-77.01793883,434289146,12.256528148918214
19876836.0,-12.1417359,-77.01755938,3672931642,23.610294176222883
21590475.0,-12.13939126,-77.01387906,391020809,85.04240846579721
20846103.0,-12.15323981,-77.02300238,1838358319,20.59812206291227
21087087.0,-12.13936029,-77.01396015,391020809,82.01112075952176
20285859.0,-12.15369451,-77.02108329,1815623586,11.175945994005735
20233029.0,-12.14677348,-77.01960839,434289143,4.3892156947774525
22917471.0,-12.1406999,-77.0167757,391022455,1.0700662332804824
25146966.0,-12.15405024,-77.02320416,4381412256,8.660588839018885
20264106.0,-12.14721798,-77.01797419,434289146,8.2450310512077
25603518.0,-12.14429,-77.015991,678989814,2.4541511818723305
20959059.0,-12.14718141,-77.01785103,434289146,6.139307031650499
20437872.0,-12.15358735,-77.01958884,4297316165,5.306789739734174
21842913.0,-12.14667875,-77.02064152,434289092,20.5656223181809
20219292.0,-12.1391613,-77.02127819,391019994,28.716525519129053
21845862.0,-12.14153894,-77.01749347,391022450,42.43101677054311
23758302.0,-12.1420503,-77.01749326,3672931642,15.98384415103233
22355679.0,-12.14621692,-77.01949479,4266825894,5.084078044370726
21390885.0,-12.14648496,-77.01955957,316634031,23.54697012529097
23984787.0,-12.15236719,-77.02199942,434289131,3.2757170630072925
20173410.0,-12.14227128,-77.01616457,678989832,28.01998945498975
20424342.0,-12.14278349,-77.01456995,678989826,16.199143118433394
25506102.0,-12.14634908,-77.0223426,2676305050,39.29965556237567
21494229.0,-12.1506575,-77.01783215,678989706,48.70393022155688
23671104.0,-12.14566327,-77.01784869,4346341384,42.96072380032666
20298696.0,-12.1437452,-77.01563564,316757396,14.745008660061721
25489209.0,-12.14115122,-77.02312742,391012553,24.17289826117618
21781287.0,-12.13910021,-77.02126677,391019994,35.027702727302156
20370684.0,-12.14214211,-77.01634676,678989832,10.962520983211641
25725057.0,-12.14768808,-77.02211859,3825454543,9.773531257679434
22890201.0,-12.14896717,-77.01787205,678989758,39.02691890082164
