CRIME_ID,latitude,longitude,nearest_node,snap_dist_m
21887037.0,-12.06729437,-76.9978103,3519436113,42.16985658312903
24694974.0,-12.06732255,-76.99779455,3519436113,42.095989267907164
24814902.0,-12.06721024,-76.9976709,3519436105,26.734888341775715
22125738.0,-12.0675322,-76.9976175,3519436110,43.47802844304753
25660254.0,-12.06709415,-76.99765765,3519436105,21.40354571939779
20772519.0,-12.06726611,-76.99730413,3519436110,5.539492055021279
20918451.0,-12.06716604,-76.99762194,3519436105,19.693344538405203
23801481.0,-12.06773082,-76.99795451,3519436113,32.75065596997944
20282019.0,-12.06754661,-76.99803412,3519436113,12.616841956440005
22580886.0,-12.06162102,-77.0120052,10007020410,17.22821550594513
20322936.0,-12.0622397,-77.01010452,2987037506,19.302582944591727
24814431.0,-12.0611149,-77.0086827,1757198501,118.29299566337677
24708000.0,-12.06145543,-77.01200118,10007020410,3.283099935484548
20070762.0,-12.06088729,-77.01032143,4177208911,90.01387888141406
20612340.0,-12.0628813,-77.0025098,316629580,4.655185462825594
24651807.0,-12.06141255,-77.01200508,10007020410,7.08655961159666
20553612.0,-12.06245336,-77.00372043,1903604893,49.35239596052086
21382584.0,-12.06280771,-77.00952631,1757198501,99.26939806355577
22117320.0,-12.06236271,-77.00393048,1903604893,74.23214750502764
24751716.0,-12.06209305,-77.01023682,2987037506,12.347853908680044
24960255.0,-12.06092431,-77.01153356,4177208911,41.941614089107674
73402118543.0,-12.06107209,-77.01156992,4177208911,50.547735259440046
20151597.0,-12.06107487,-77.01065019,4177208911,58.714931991105495
20253669.0,-12.06208013,-77.01026556,2987037506,15.195740020735748
20376213.0,-12.06077842,-77.01025245,4177208911,98.06477541471433
20873298.0,-12.06108798,-77.01062273,4177208911,62.02526529947783
22919658.0,-12.06231144,-77.00390857,1903604893,74.31968821085204
23905569.0,-12.062893,-77.002562,316629580,2.01561409449931
20745813.0,-12.06159808,-77.01195933,10007020410,14.44056688668775
23116089.0,-12.06286494,-77.00276541,316629580,24.134101428002975
21255693.0,-12.06134274,-77.01204853,10007020410,16.15205557957298
21417717.0,-12.06167307,-77.01204233,10007020410,23.849463288644586
22006794.0,-12.06213132,-77.00701934,1757198502,81.96032287939512
21213360.0,-12.06125799,-77.00925184,1757198501,75.38531811875403
22022907.0,-12.06280953,-77.00870057,1757198501,123.85285709794668
20198718.0,-12.06235987,-77.00383467,1903604893,64.77027504876769
20588133.0,-12.0622582,-77.0118535,4175013601,1.226396178318821
20666520.0,-12.06238878,-77.0093304,1757198501,52.16143478037224
23365434.0,-12.06127316,-77.01209195,10007020410,25.19807727128766
22773231.0,-12.06066601,-77.00998248,4177208911,128.87765798004438
19843407.0,-12.06099406,-77.01157341,4177208911,47.789424432419075
20207091.0,-12.06237468,-77.00408643,1903604898,82.45293739984456
21736191.0,-12.06234401,-77.00390844,1903604893,72.80188563935562
21887598.0,-12.06119823,-77.01199995,10007020410,30.163047581083735
21965544.0,-12.06285366,-77.00587413,1757198533,49.24325847224924
22065624.0,-12.06213378,-77.01006613,2987037506,9.863860925749083
22533570.0,-12.06294088,-77.00261801,316629580,8.827693574014656
23960625.0,-12.06205588,-77.00711458,1757198502,70.64659862574673
23965806.0,-12.06236225,-77.00938999,1757198501,48.769173431915696
24267876.0,-12.06187946,-77.00931903,1757198501,9.39358606540387
25009053.0,-12.06286388,-77.00842116,1757198502,119.0529852570251
20113788.0,-12.06283968,-77.00782311,1757198502,92.80945787218093
20377050.0,-12.06291466,-77.00267479,316629580,13.985183183024722
20848401.0,-12.06201053,-77.01017986,2987037506,8.564693057556408
21086841.0,-12.06226472,-77.01004998,2987037506,23.44412461617266
21414009.0,-12.06230295,-77.01001649,2987037506,28.760538885207843
21730518.0,-12.06295929,-77.00251441,316629580,7.153495472580396
21866130.0,-12.06195378,-77.0100083,2987037506,17.94414474949544
21769557.0,-12.06237186,-77.00406644,1903604898,83.92321106263356
20193336.0,-12.06278937,-77.00271681,316629580,22.37913538952493
22004610.0,-12.06244171,-77.00375378,1903604893,53.19639001406962
21135486.0,-12.0611149,-77.0086827,1757198501,118.29299566337677
25514712.0,-12.06149174,-77.01014264,2987037506,63.8898853564046
24021534.0,-12.06242505,-77.00386477,1903604893,65.20185728415062
25198866.0,-12.0620465,-77.00998367,2987037506,15.638906049382925
20378415.0,-12.0619003,-77.01009477,2987037506,18.826484098924134
19908054.0,-12.0610399,-77.0116282,4177208911,55.01435662151673
20377623.0,-12.06284878,-77.01003167,2987037506,87.37107146938982
21299133.0,-12.06125799,-77.00925184,1757198501,75.38531811875403
21301626.0,-12.06092558,-77.01142464,4177208911,30.291513208433837
21421458.0,-12.06200789,-77.0100531,2987037506,10.303063063911972
22851324.0,-12.06275887,-77.01006367,2987037506,77.08585598875736
22883682.0,-12.06198817,-77.0099685,2987037506,19.229313675776613
23200050.0,-12.06216814,-77.01000842,2987037506,17.006647198863273
23422440.0,-12.06194175,-77.0098949,2987037506,28.704057727161683
23887407.0,-12.06298541,-77.00928073,1757198501,118.56987794005346
24117258.0,-12.06216487,-77.00777041,1757198502,17.695336779256344
24337806.0,-12.06200681,-77.00992715,2987037506,22.618459360784914
24561357.0,-12.06100059,-77.01177945,10007020410,56.105932008548244
24703053.0,-12.06241543,-77.0077972,1757198502,45.63883232842269
24745950.0,-12.06209453,-77.01010165,2987037506,4.046153494284732
19877049.0,-12.0613446,-77.00973656,1757198501,74.22097633139978
20029947.0,-12.06104597,-77.01148061,4177208911,40.58944943070528
20520024.0,-12.06147754,-77.01029226,2987037506,67.87814115925063
20535018.0,-12.06204894,-77.0098537,2987037506,29.646966094764004
20444049.0,-12.06298159,-77.00239099,316629535,6.0889246370088586
24510039.0,-12.0607232,-77.0102389,4177208911,100.36563937696347
22319520.0,-12.06118886,-77.01109147,4177208911,35.53390581876677
24308100.0,-12.06071057,-77.00989047,4177208911,137.9778311361906
20170620.0,-12.06294453,-77.00231152,316629535,13.418535683770038
20567685.0,-12.06125391,-77.01112319,4177208911,42.27483384036585
21014724.0,-12.06214177,-77.00781121,1757198502,15.980935636518819
23173407.0,-12.06299541,-77.00268411,316629580,18.119726844414384
24304851.0,-12.06242505,-77.00386477,1903604893,65.20185728415062
25071042.0,-12.06204297,-77.0071775,1757198502,63.73132071069668
20463555.0,-12.0611149,-77.008682,1757198501,118.34255234796359
20463738.0,-12.06292636,-77.00245234,316629535,3.0187274842023006
20473311.0,-12.06125799,-77.00925184,1757198501,75.38531811875403
20504202.0,-12.06120762,-77.01111035,4177208911,37.2886456996359
20563233.0,-12.0627952,-77.00955471,1757198501,98.3976353175042
21223902.0,-12.0611149,-77.008682,1757198501,118.34255234796359
23180838.0,-12.06128633,-77.01119644,4177208911,46.038297678950585
21866718.0,-12.06203794,-77.00980719,2987037506,34.777710683386395
23550537.0,-12.06300952,-77.00251008,316629535,10.645427871621033
25352133.0,-12.06217731,-77.0100794,2987037506,13.24609566513747
20217759.0,-12.06241347,-77.00375178,1903604893,54.13545641983548
