estrategia,n_features,accuracy_mean,f1_mean,auc_mean,auc_std,n_splits,n_repeats
Laplaciano directo (768-dim),3840,0.7655110368691088,0.16338634223058818,0.4852445120145441,0.043277802455364243,5,5
PCA + Laplaciano,250,0.6913800262498507,0.17668757261910642,0.5041368513887403,0.04922866138822819,5,5
Mean-pooling directo (768),768,0.8328528815177185,0.4804609754895111,0.863974191283937,0.03027204716772747,5,5
Mean-pooling + PCA,50,0.7935167641092947,0.4274415981905907,0.8438045885056337,0.03511727713100346,5,5
Mean+Std pooling (1536),1536,0.8882014079465458,0.5371820067607718,0.8698289644705127,0.024408323112754104,5,5
