estrategia,n_features,accuracy_mean,f1_mean,auc_mean,auc_std,n_splits,n_repeats
Laplaciano directo (768-dim),3840,0.5315000000000001,0.43925630926647324,0.543492178134394,0.06414785197493902,5,5
PCA + Laplaciano,250,0.489,0.3989529089235739,0.4690620851822354,0.05466322146635831,5,5
Mean-pooling directo (768),768,0.7225,0.6787195523261232,0.7915078795793821,0.0468364707853327,5,5
Mean-pooling + PCA,50,0.6925,0.652618732101237,0.7604373385044877,0.04120392841780689,5,5
Mean+Std pooling (1536),1536,0.728,0.682516037308466,0.7945226493591298,0.03456929809533505,5,5
