name,address,place_type,lat,lon
Voxiva | Inteligencia Artificial,"Av. Almte. Miguel Grau 629, Barranco 15063",Empresa de software,-12.1453727,-77.0218822
"Trendy Host Stelar, Miraflores","Av. Almte. Miguel Grau 1430, Barranco 15063",,-12.1374501,-77.0223746
Estadio Luis Gálvez Chipoco,"VX6G+PHQ, Av. San Martín, Barranco 15063",Estadio,-12.1381658,-77.0235214
Manzana Verde Delivery de planes de comida saludable en Perú,"Rosendo Vidaurre 641, Barranco 15063",Comida a domicilio,-12.1359489,-77.0192111
Artesanos Don Bosco,"Av. San Martín 135, Lima 15063",Tienda de muebles,-12.1454677,-77.0231018
TARANTINO BURGERS,"Av. Francisco Bolognesi 877, Barranco 15074",Hamburguesería,-12.1429523,-77.0183386
BARRANQUITO SUITE,"Bregante 147 A, Barranco 15063",,-12.1461338,-77.0208305
Shushupe Bar Barranco,"Av. Almte. Miguel Grau 203, Barranco 15063",Bar,-12.1503622,-77.0205677
Policía de Salvataje,"VX5C+VQJ, Circuito de Playas, Barranco 15063",Estación de guardacostas,-12.1402986,-77.0280964
GRUPO LA RIAZA,"Av Tejada 302, Barranco 15047",Empresa constructora,-12.1330947,-77.0208011
Shimaya Barranco,"Av. Almte. Miguel Grau 393, Barranco 15063",Restaurante japonés,-12.147943,-77.0214098
Amaretto Panadería Heladería Pastelería,"Av. Almte. Miguel Grau 1350, Lima 15063",Cafetería,-12.1381879,-77.0222876
Altamar Ceramic Studio,"Calle Libertad 255, Barranco 15063",Fabricante de cerámica,-12.1534772,-77.0211517
Nuna Laboratorio culinario,"Pedro de Osma 310, Barranco 15063",Restaurante,-12.1522599,-77.0227814
Educación Ejecutiva de UTEC,"Jr. Medrano Silva 165, Barranco 15047",Escuela de negocios,-12.1353714,-77.0220846
Acuario PetShop Barranco,"Av. Panamericana Sur 240, Barranco 15063",Tienda de peces tropicales,-12.1527557,-77.0198786
Cevicheria - JOSELITO BARTOLO,"Av. Almte. Miguel Grau 941, Barranco 15063",Restaurante,-12.1423725,-77.0222025
Asesores & Consultores Solant S.A.C.,"N ° 100, Pje. Rospigliosi, Barranco 15047",Servicio de asesoría al consumidor,-12.1339629,-77.0184551
Heladería Speciale,"Jr. Batallón Ayacucho 276, Barranco 15063",Heladería,-12.1495268,-77.022085
Puente de los Suspiros,"Jr. Batallón 271, Barranco 15063",Atracción turística,-12.1491798,-77.0226004
Restaurant El Cachafaz,"Av. Almte. Miguel Grau 209, Barranco 15063",Restaurante,-12.1498012,-77.0208264
AromaterapeutaPeru,"Jiron Unión 108, Barranco 15063",Tienda de aromaterapia,-12.1475701,-77.0212047
GDP Studios,"Av. Pedro de Osma 434, Barranco 15063",Oficinas de empresa,-12.1549819,-77.0232502
Pizzería Tio Dan,"Av. Almte. Miguel Grau 1014, Barranco 15063",Pizzería,-12.1407247,-77.0220474
Carrito emolientero,"Calle Julio Ramon Ribeyro 1095, Barranco 15047",Tienda de alimentación,-12.1336108,-77.0179962
ISHIZAKI Anime & Sushi,"Av. Nicolás de Piérola 174, Barranco 15063",Restaurante de sushi,-12.1415105,-77.0207293
ASOCIACIÓN DE MODA SOSTENIBLE DEL PERÚ - AMSPERÚ,"Av. Pedro de Osma 135, Barranco 15063",Organización sin ánimo de lucro,-12.1508371,-77.0219633
