longitude,latitude,YEAR,DISTRITO,MODALIDAD,ID,x,y,cluster,probability
-77.05497036,-12.09191096,2020,San Isidro,ROBO AGRAVADO,141062.0,-8577720.063565988,-1356170.2552414604,-1,0.0
-77.04316216,-12.09202904,2020,San Isidro,ROBO AGRAVADO A MANO ARMADA,99777.0,-8576405.580754802,-1356183.698109145,-1,0.0
-77.03707165,-12.09263203,2020,San Isidro,ROBO AGRAVADO A MANO ARMADA,313337.0,-8575727.588282932,-1356252.3458540076,13,0.4671361570759644
-77.05497036,-12.09191096,2020,San Isidro,ROBO AGRAVADO A MANO ARMADA,141064.0,-8577720.063565988,-1356170.2552414604,-1,0.0
-77.04909654,-12.08935516,2020,San Isidro,ROBO AGRAVADO A MANO ARMADA,311701.0,-8577066.192914575,-1355879.290560787,-1,0.0
-77.03901655,-12.09131451,2020,San Isidro,ROBO,241309.0,-8575944.093560575,-1356102.3522289218,-1,0.0
-77.04222787,-12.0924675,2020,San Isidro,HURTO,141042.0,-8576301.57606775,-1356233.6148257628,-1,0.0
-77.05051693,-12.08987393,2020,San Isidro,HURTO,99740.0,-8577224.310006104,-1355938.3496313817,-1,0.0
-77.0495635,-12.0926983,2020,San Isidro,HURTO,203584.0,-8577118.174663998,-1356259.890409878,5,1.0
-77.03801045,-12.09148827,2020,San Isidro,HURTO,175546.0,-8575832.095020888,-1356122.133967768,-1,0.0
-77.0500832,-12.08906956,2020,San Isidro,HURTO,52601.0,-8577176.027403364,-1355846.7766428618,-1,0.0
-77.05005434,-12.08901176,2020,San Isidro,HURTO,220127.0,-8577172.814722858,-1355840.1964494095,-1,0.0
-77.0406335,-12.09260816,2020,San Isidro,HURTO,99749.0,-8576124.091611214,-1356249.6283571266,-1,0.0
-77.04444882,-12.09219315,2020,San Isidro,HURTO,220124.0,-8576548.811090827,-1356202.381291562,9,1.0
-77.05110338,-12.09256804,2020,San Isidro,HURTO,221014.0,-8577289.59332148,-1356245.0608681536,5,1.0
-77.03635105,-12.09209657,2020,San Isidro,HURTO,102291.0,-8575647.371457864,-1356191.3860933078,-1,0.0
-77.0515386,-12.09171865,2020,San Isidro,HURTO,311679.0,-8577338.041790264,-1356148.3616406417,-1,0.0
-77.0368741,-12.092882,2020,San Isidro,HURTO,221011.0,-8575705.597117526,-1356280.8038784333,13,0.4530382547472426
-77.05497036,-12.09191096,2020,San Isidro,HURTO,52602.0,-8577720.063565988,-1356170.2552414604,-1,0.0
-77.04444882,-12.09219315,2020,San Isidro,HURTO,293028.0,-8576548.811090827,-1356202.381291562,9,1.0
-77.0508367,-12.09186845,2020,San Isidro,HURTO,52612.0,-8577259.906639677,-1356165.4156739307,5,0.9888428597845068
-77.05497036,-12.09191096,2020,San Isidro,HURTO,141036.0,-8577720.063565988,-1356170.2552414604,-1,0.0
-77.04444882,-12.09219315,2020,San Isidro,HURTO,22656.0,-8576548.811090827,-1356202.381291562,9,1.0
-77.04818438,-12.08869128,2020,San Isidro,HURTO AGRAVADO,99751.0,-8576964.651727855,-1355803.7116932427,-1,0.0
-77.05195865,-12.09186333,2020,San Isidro,HURTO AGRAVADO,99754.0,-8577384.801542372,-1356164.8327855866,5,0.9000244276178155
-77.04423343,-12.09248459,2020,San Isidro,HURTO AGRAVADO,242061.0,-8576524.833985707,-1356235.560447744,9,1.0
-77.05096932,-12.09096399,2020,San Isidro,HURTO AGRAVADO,22669.0,-8577274.669830542,-1356062.4472547937,5,1.0
-77.04026879,-12.09170679,2020,San Isidro,HURTO AGRAVADO,313317.0,-8576083.492279725,-1356147.011435211,-1,0.0
-77.04423343,-12.09248459,2020,San Isidro,HURTO AGRAVADO,22672.0,-8576524.833985707,-1356235.560447744,9,1.0
-77.03875476,-12.09287417,2020,San Isidro,HURTO AGRAVADO,243210.0,-8575914.951231081,-1356279.9124657358,-1,0.0
-77.04026879,-12.09170679,2020,San Isidro,HURTO AGRAVADO,54105.0,-8576083.492279725,-1356147.011435211,-1,0.0
-77.0368741,-12.092882,2020,San Isidro,HURTO AGRAVADO,310956.0,-8575705.597117526,-1356280.8038784333,13,0.4530382547472426
-77.03683104,-12.09294958,2020,San Isidro,HURTO AGRAVADO,313315.0,-8575700.803700252,-1356288.4975794083,-1,0.0
-77.05162869,-12.09212545,2020,San Isidro,HURTO AGRAVADO,99756.0,-8577348.07056319,-1356194.6739508894,5,1.0
-77.0512106,-12.09261148,2020,San Isidro,HURTO AGRAVADO,141047.0,-8577301.528997283,-1356250.0063248402,5,1.0
-77.03875476,-12.09287417,2020,San Isidro,HURTO AGRAVADO,313324.0,-8575914.951231081,-1356279.9124657358,-1,0.0
-77.05074576,-12.08954486,2020,San Isidro,HURTO DE VEHICULO,266795.0,-8577249.783245184,-1355900.8868342822,-1,0.0
-77.03683104,-12.09294958,2020,San Isidro,HURTO DE VEHICULO,143416.0,-8575700.803700252,-1356288.4975794083,-1,0.0
-77.04878391,-12.09237367,2020,San Isidro,HURTO DE VEHICULO,141053.0,-8577031.39110217,-1356222.9326916174,5,1.0
-77.03789478,-12.09169914,2020,San Isidro,HURTO AGRAVADO EN CASA HABITADA,24249.0,-8575819.21869539,-1356146.1405185852,-1,0.0
-77.01924932,-12.09067664,2020,San Isidro,ROBO AGRAVADO,294392.0,-8573743.615582582,-1356029.7339127802,3,1.0
