cid,lat,lng,district
156,-12.1578378,-77.0056717,Barranco
157,-12.1578378,-77.0049345,Barranco
158,-12.1578378,-77.0041973,Barranco
159,-12.1578378,-77.00346,Barranco
160,-12.1578378,-77.0027228,Barranco
161,-12.1578378,-77.0019856,Barranco
162,-12.1578378,-77.0012484,Barranco
163,-12.1578378,-77.0005112,Barranco
164,-12.1571171,-77.03,Barranco
165,-12.1571171,-77.0292628,Barranco
166,-12.1571171,-77.0285256,Barranco
167,-12.1571171,-77.0277883,Barranco
168,-12.1571171,-77.0270511,Barranco
169,-12.1571171,-77.0263139,Barranco
170,-12.1571171,-77.0255767,Barranco
171,-12.1571171,-77.0248395,Barranco
172,-12.1571171,-77.0241022,Barranco
173,-12.1571171,-77.023365,Barranco
174,-12.1571171,-77.0226278,Barranco
175,-12.1571171,-77.0218906,Barranco
176,-12.1571171,-77.0211533,Barranco
177,-12.1571171,-77.0204161,Barranco
178,-12.1571171,-77.0196789,Barranco
179,-12.1571171,-77.0189417,Barranco
180,-12.1571171,-77.0182045,Barranco
181,-12.1571171,-77.0174672,Barranco
182,-12.1571171,-77.01673,Barranco
183,-12.1571171,-77.0159928,Barranco
184,-12.1571171,-77.0152556,Barranco
185,-12.1571171,-77.0145184,Barranco
186,-12.1571171,-77.0137811,Barranco
187,-12.1571171,-77.0130439,Barranco
188,-12.1571171,-77.0123067,Barranco
189,-12.1571171,-77.0115695,Barranco
190,-12.1571171,-77.0108323,Barranco
191,-12.1571171,-77.010095,Barranco
192,-12.1571171,-77.0093578,Barranco
193,-12.1571171,-77.0086206,Barranco
194,-12.1571171,-77.0078834,Barranco
195,-12.1571171,-77.0071461,Barranco
196,-12.1571171,-77.0064089,Barranco
197,-12.1571171,-77.0056717,Barranco
198,-12.1571171,-77.0049345,Barranco
199,-12.1571171,-77.0041973,Barranco
200,-12.1571171,-77.00346,Barranco
201,-12.1571171,-77.0027228,Barranco
202,-12.1571171,-77.0019856,Barranco
203,-12.1571171,-77.0012484,Barranco
204,-12.1571171,-77.0005112,Barranco
205,-12.1563964,-77.03,Barranco
206,-12.1563964,-77.0292628,Barranco
207,-12.1563964,-77.0285256,Barranco
208,-12.1563964,-77.0277883,Barranco
209,-12.1563964,-77.0270511,Barranco
210,-12.1563964,-77.0263139,Barranco
211,-12.1563964,-77.0255767,Barranco
212,-12.1563964,-77.0248395,Barranco
213,-12.1563964,-77.0241022,Barranco
214,-12.1563964,-77.023365,Barranco
215,-12.1563964,-77.0226278,Barranco
216,-12.1563964,-77.0218906,Barranco
217,-12.1563964,-77.0211533,Barranco
218,-12.1563964,-77.0204161,Barranco
219,-12.1563964,-77.0196789,Barranco
220,-12.1563964,-77.0189417,Barranco
221,-12.1563964,-77.0182045,Barranco
222,-12.1563964,-77.0174672,Barranco
223,-12.1563964,-77.01673,Barranco
224,-12.1563964,-77.0159928,Barranco
225,-12.1563964,-77.0152556,Barranco
226,-12.1563964,-77.0145184,Barranco
227,-12.1563964,-77.0137811,Barranco
228,-12.1563964,-77.0130439,Barranco
229,-12.1563964,-77.0123067,Barranco
230,-12.1563964,-77.0115695,Barranco
231,-12.1563964,-77.0108323,Barranco
232,-12.1563964,-77.010095,Barranco
233,-12.1563964,-77.0093578,Barranco
234,-12.1563964,-77.0086206,Barranco
235,-12.1563964,-77.0078834,Barranco
236,-12.1563964,-77.0071461,Barranco
237,-12.1563964,-77.0064089,Barranco
238,-12.1563964,-77.0056717,Barranco
239,-12.1563964,-77.0049345,Barranco
240,-12.1563964,-77.0041973,Barranco
241,-12.1563964,-77.00346,Barranco
242,-12.1563964,-77.0027228,Barranco
243,-12.1563964,-77.0019856,Barranco
244,-12.1563964,-77.0012484,Barranco
245,-12.1563964,-77.0005112,Barranco
246,-12.1556757,-77.03,Barranco
247,-12.1556757,-77.0292628,Barranco
248,-12.1556757,-77.0285256,Barranco
249,-12.1556757,-77.0277883,Barranco
250,-12.1556757,-77.0270511,Barranco
251,-12.1556757,-77.0263139,Barranco
252,-12.1556757,-77.0255767,Barranco
253,-12.1556757,-77.0248395,Barranco
254,-12.1556757,-77.0241022,Barranco
255,-12.1556757,-77.023365,Barranco
256,-12.1556757,-77.0226278,Barranco
257,-12.1556757,-77.0218906,Barranco
258,-12.1556757,-77.0211533,Barranco
259,-12.1556757,-77.0204161,Barranco
260,-12.1556757,-77.0196789,Barranco
