estrategia,cv_scheme,auc,f1_default,optimal_threshold,f1_optimal
fused + logistic,random_kfold,0.8338328338328338,0.7304347826086957,0.3566311220248754,0.7553191489356752
fused + logistic,spatial_blocks,0.6361843284920208,0.5075528700906344,0.0456738516389938,0.62203023758053
stacking (logistic),,0.8622659391890162,0.752,0.5465448295603705,0.7687861271671302
