estrategia,cv_scheme,auc,f1_default,optimal_threshold,f1_optimal
fused + logistic,random_kfold,0.9003043631749182,0.5833333333333334,0.330308630606059,0.6134020618551829
fused + logistic,spatial_blocks,0.7048822143136562,0.31024930747922436,0.26688149702756137,0.34942528735585326
stacking (logistic),,0.8915551145416901,0.5313807531380753,0.6215013294348057,0.5854922279787868
