longitude,latitude,YEAR,DISTRITO,MODALIDAD,ID,x,y,cluster,probability
-77.022504,-12.1370809,2023,Barranco,ROBO AGRAVADO,35882.0,-8574105.924902877,-1361313.0799268126,-1,0.0
-77.02057387,-12.15046248,2023,Barranco,ROBO AGRAVADO,16650.0,-8573891.063814113,-1362836.8073380531,0,1.0
-77.0177178,-12.1379711,2023,Barranco,ROBO AGRAVADO,104014.0,-8573573.127556043,-1361414.4424213907,-1,0.0
-77.0195862,-12.15124936,2023,Barranco,ROBO AGRAVADO,63977.0,-8573781.116892641,-1362926.4098014594,0,0.7663540270839438
-77.01659191,-12.14544424,2023,Barranco,ROBO AGRAVADO,16236.0,-8573447.794054553,-1362265.383789026,-1,0.0
-77.01730521,-12.14987108,2023,Barranco,ROBO AGRAVADO,55050.0,-8573527.198247336,-1362769.4644654018,-1,0.0
-77.02448707,-12.1450781,2023,Barranco,ROBO AGRAVADO,65912.0,-8574326.679245485,-1362223.6920998534,-1,0.0
-77.0175994,-12.1402336,2023,Barranco,ROBO AGRAVADO,92494.0,-8573559.947328331,-1361672.0631819565,4,0.5710816521144622
-77.02154415,-12.14672128,2023,Barranco,ROBO AGRAVADO,4010.0,-8573999.07488964,-1362410.7984365686,1,1.0
-77.01465389,-12.13858556,2023,Barranco,ROBO AGRAVADO,63978.0,-8573232.054655006,-1361484.4080182319,-1,0.0
-77.02292576,-12.1463311,2023,Barranco,ROBO AGRAVADO,63980.0,-8574152.875011316,-1362366.3691456418,-1,0.0
-77.0176818,-12.1389709,2023,Barranco,ROBO AGRAVADO,68711.0,-8573569.120054374,-1361528.2849079918,4,0.3546481729495894
-77.0223003,-12.1381889,2023,Barranco,ROBO AGRAVADO,15173.0,-8574083.249122601,-1361439.2422385428,-1,0.0
-77.02057387,-12.15046248,2023,Barranco,ROBO AGRAVADO,105669.0,-8573891.063814113,-1362836.8073380531,0,1.0
-77.01636948,-12.14699249,2023,Barranco,ROBO AGRAVADO,54314.0,-8573423.033260215,-1362441.6808061453,-1,0.0
-77.01995055,-12.14554052,2023,Barranco,ROBO AGRAVADO,62599.0,-8573821.676149111,-1362276.3470252738,1,0.8881841924178011
-77.0216952,-12.14370963,2023,Barranco,ROBO AGRAVADO,71480.0,-8574015.889698723,-1362067.8674425427,2,1.0
-77.01563043,-12.1446546,2023,Barranco,ROBO AGRAVADO,106001.0,-8573340.762590544,-1362175.469004369,3,1.0
-77.01730521,-12.14987108,2023,Barranco,ROBO AGRAVADO,116661.0,-8573527.198247336,-1362769.4644654018,-1,0.0
-77.01640642,-12.1455812,2023,Barranco,ROBO AGRAVADO,104728.0,-8573427.145402206,-1362280.9791873558,-1,0.0
-77.02164221,-12.15278429,2023,Barranco,ROBO AGRAVADO,834.0,-8574009.990878906,-1363101.1938971102,0,0.7725780737287716
-77.01792866,-12.13949531,2023,Barranco,ROBO AGRAVADO,35753.0,-8573596.60038387,-1361587.9971596398,4,1.0
-77.02167294,-12.1548352,2023,Barranco,ROBO AGRAVADO A MANO ARMADA,120059.0,-8574013.411726858,-1363334.7347525482,-1,0.0
-77.02134214,-12.14437675,2023,Barranco,ROBO AGRAVADO A MANO ARMADA,103862.0,-8573976.587239305,-1362143.8308238888,-1,0.0
-77.01792866,-12.13949531,2023,Barranco,ROBO AGRAVADO A MANO ARMADA,63985.0,-8573596.60038387,-1361587.9971596398,4,1.0
-77.01872248,-12.1524995,2023,Barranco,ROBO AGRAVADO A MANO ARMADA,38293.0,-8573684.96802205,-1363068.7644836945,-1,0.0
-77.02262132,-12.14197287,2023,Barranco,ROBO AGRAVADO A MANO ARMADA,5162.0,-8574118.984905535,-1361870.1075692435,-1,0.0
-77.01802201,-12.1404249,2023,Barranco,ROBO AGRAVADO A MANO ARMADA,75987.0,-8573606.992058337,-1361693.845758088,4,0.5834512456634018
-77.02076005,-12.14212472,2023,Barranco,ROBO AGRAVADO A MANO ARMADA,80343.0,-8573911.78927691,-1361887.398241182,-1,0.0
-77.02260338,-12.15204362,2023,Barranco,ROBO AGRAVADO A MANO ARMADA,118020.0,-8574116.987833872,-1363016.852898275,0,0.8072136779228031
-77.01640642,-12.1455812,2023,Barranco,ROBO AGRAVADO A MANO ARMADA,51104.0,-8573427.145402206,-1362280.9791873558,-1,0.0
-77.01592547,-12.14415031,2023,Barranco,ROBO AGRAVADO A MANO ARMADA,39781.0,-8573373.606293108,-1362118.0466136911,3,1.0
-77.0225011,-12.1517017,2023,Barranco,ROBO AGRAVADO A MANO ARMADA,63983.0,-8574105.602076354,-1362977.9181288704,0,0.7281407059040537
