longitude,latitude,YEAR,DISTRITO,MODALIDAD,ID,x,y,cluster,probability
-77.04136089,-12.09150849,2019,San Isidro,ROBO AGRAVADO,322959.0,-8576205.064295623,-1356124.4359181854,20,1.0
-77.04904105,-12.09072325,2019,San Isidro,ROBO AGRAVADO,72955.0,-8577060.015796032,-1356035.0402228031,9,0.9386006838727591
-77.04904105,-12.09072325,2019,San Isidro,ROBO AGRAVADO,72956.0,-8577060.015796032,-1356035.0402228031,9,0.9386006838727591
-77.04831769,-12.08785672,2019,San Isidro,ROBO AGRAVADO,72959.0,-8576979.491729172,-1355708.7021688565,9,0.7205434036226908
-77.03697086,-12.09141935,2019,San Isidro,ROBO AGRAVADO,406752.0,-8575716.368391454,-1356114.2877562782,23,1.0
-77.04136089,-12.09150849,2019,San Isidro,ROBO AGRAVADO,181870.0,-8576205.064295623,-1356124.4359181854,20,1.0
-77.04654413,-12.09277644,2019,San Isidro,ROBO AGRAVADO,218209.0,-8576782.059933081,-1356268.7863168486,-1,0.0
-77.03737072,-12.09297158,2019,San Isidro,ROBO AGRAVADO,33229.0,-8575760.880603043,-1356291.002188017,24,0.8486688862944112
-77.04802294,-12.08980789,2019,San Isidro,ROBO AGRAVADO,70381.0,-8576946.68030926,-1355930.8313394166,9,0.852186189116788
-77.05157484,-12.09009863,2019,San Isidro,ROBO AGRAVADO,332293.0,-8577342.07600861,-1355963.9305084664,9,0.7929835690825269
-77.03702757,-12.09182114,2019,San Isidro,ROBO AGRAVADO,246156.0,-8575722.681319779,-1356160.0296494346,23,1.0
-77.0368741,-12.092882,2019,San Isidro,ROBO AGRAVADO A MANO ARMADA,364453.0,-8575705.597117526,-1356280.8038784333,24,1.0
-77.04316216,-12.09202904,2019,San Isidro,ROBO AGRAVADO A MANO ARMADA,327413.0,-8576405.580754802,-1356183.698109145,-1,0.0
-77.03635105,-12.09209657,2019,San Isidro,ROBO AGRAVADO A MANO ARMADA,329534.0,-8575647.371457864,-1356191.3860933078,-1,0.0
-77.04142423,-12.0924729,2019,San Isidro,ROBO AGRAVADO A MANO ARMADA,140252.0,-8576212.115272168,-1356234.229592203,20,1.0
-77.04909654,-12.08935516,2019,San Isidro,ROBO AGRAVADO A MANO ARMADA,437701.0,-8577066.192914575,-1355879.290560787,9,0.8268751063961717
-77.05008849,-12.08820422,2019,San Isidro,ROBO AGRAVADO A MANO ARMADA,30640.0,-8577176.616283467,-1355748.2628711064,9,0.7832693530432506
-77.05497036,-12.09191096,2019,San Isidro,ROBO AGRAVADO A MANO ARMADA,30641.0,-8577720.063565988,-1356170.2552414604,-1,0.0
-77.03702757,-12.09182114,2019,San Isidro,ROBO AGRAVADO A MANO ARMADA,402726.0,-8575722.681319779,-1356160.0296494346,23,1.0
-77.04142423,-12.0924729,2019,San Isidro,ROBO,249420.0,-8576212.115272168,-1356234.229592203,20,1.0
-77.0406335,-12.09260816,2019,San Isidro,ROBO,148244.0,-8576124.091611214,-1356249.6283571266,19,0.0
-77.04222787,-12.0924675,2019,San Isidro,ROBO,143690.0,-8576301.57606775,-1356233.6148257628,-1,0.0
-77.04842158,-12.0907789,2019,San Isidro,ROBO,327411.0,-8576991.05671107,-1356041.3756917848,9,0.7814993038354388
-77.03697086,-12.09141935,2019,San Isidro,ROBO,216568.0,-8575716.368391454,-1356114.2877562782,23,1.0
-77.04444882,-12.09219315,2019,San Isidro,ROBO,143682.0,-8576548.811090827,-1356202.381291562,-1,0.0
-77.04142423,-12.0924729,2019,San Isidro,ROBO,437699.0,-8576212.115272168,-1356234.229592203,20,1.0
-77.05008849,-12.08820422,2019,San Isidro,ROBO,364300.0,-8577176.616283467,-1355748.2628711064,9,0.7832693530432506
-77.03801045,-12.09148827,2019,San Isidro,ROBO,253955.0,-8575832.095020888,-1356122.133967768,-1,0.0
-77.04893004,-12.09149253,2019,San Isidro,ROBO,143685.0,-8577047.65821936,-1356122.6189484056,9,0.7872726626324499
-77.05008849,-12.08820422,2019,San Isidro,ROBO,30638.0,-8577176.616283467,-1355748.2628711064,9,0.7832693530432506
-77.05074664,-12.09304229,2019,San Isidro,ROBO,143686.0,-8577249.881206335,-1356299.0522291732,9,0.7594920118975055
-77.03697086,-12.09141935,2019,San Isidro,ROBO,33215.0,-8575716.368391454,-1356114.2877562782,23,1.0
-77.05497036,-12.09191096,2019,San Isidro,ROBO,30636.0,-8577720.063565988,-1356170.2552414604,-1,0.0
-77.03697086,-12.09141935,2019,San Isidro,ROBO,254357.0,-8575716.368391454,-1356114.2877562782,23,1.0
-77.04302738,-12.09228487,2019,San Isidro,HURTO,267802.0,-8576390.577113833,-1356212.8232043702,-1,0.0
-77.05051693,-12.08987393,2019,San Isidro,HURTO,397758.0,-8577224.310006104,-1355938.3496313817,9,1.0
-77.04126969,-12.09222402,2019,San Isidro,HURTO,143672.0,-8576194.911958061,-1356205.8957029413,20,1.0
-77.03801045,-12.09148827,2019,San Isidro,HURTO,292892.0,-8575832.095020888,-1356122.133967768,-1,0.0
-77.05069798,-12.09183225,2019,San Isidro,HURTO,110791.0,-8577244.464399913,-1356161.2944714196,9,0.7853044984959023
-77.05066537,-12.08979051,2019,San Isidro,HURTO,110754.0,-8577240.83427132,-1355928.8527220048,9,1.0
-77.05245522,-12.09181458,2019,San Isidro,HURTO,143675.0,-8577440.079461914,-1356159.2828238779,-1,0.0
-77.04136089,-12.09150849,2019,San Isidro,HURTO,332116.0,-8576205.064295623,-1356124.4359181854,20,1.0
-77.03707165,-12.09263203,2019,San Isidro,HURTO,397764.0,-8575727.588282932,-1356252.3458540076,24,0.8829936774993795
-77.03875476,-12.09287417,2019,San Isidro,HURTO,439805.0,-8575914.951231081,-1356279.9124657358,-1,0.0
-77.04136089,-12.09150849,2019,San Isidro,HURTO,332125.0,-8576205.064295623,-1356124.4359181854,20,1.0
-77.04444882,-12.09219315,2019,San Isidro,HURTO,70351.0,-8576548.811090827,-1356202.381291562,-1,0.0
-77.05096932,-12.09096399,2019,San Isidro,HURTO,145851.0,-8577274.669830542,-1356062.4472547937,9,1.0
-77.03636799,-12.09147653,2019,San Isidro,HURTO,397767.0,-8575649.25721004,-1356120.7974249239,-1,0.0
-77.05066537,-12.08979051,2019,San Isidro,HURTO,290906.0,-8577240.83427132,-1355928.8527220048,9,1.0
-77.05041908,-12.09187378,2019,San Isidro,HURTO,70352.0,-8577213.41739393,-1356166.0224698184,9,0.8530287322319764
-77.04789101,-12.09074706,2019,San Isidro,HURTO,290904.0,-8576931.99392884,-1356037.7508698383,-1,0.0
-77.0368307,-12.0925879,2019,San Isidro,HURTO,406607.0,-8575700.765851624,-1356247.321843418,24,0.6201988520151468
-77.04789101,-12.09074706,2019,San Isidro,HURTO,214296.0,-8576931.99392884,-1356037.7508698383,-1,0.0
-77.05069798,-12.09183225,2019,San Isidro,HURTO,364291.0,-8577244.464399913,-1356161.2944714196,9,0.7853044984959023
-77.05134702,-12.08973553,2019,San Isidro,HURTO,434665.0,-8577316.715202216,-1355922.5935522306,9,1.0
-77.05134702,-12.08973553,2019,San Isidro,HURTO,332123.0,-8577316.715202216,-1355922.5935522306,9,1.0
-77.04136092,-12.09228548,2019,San Isidro,HURTO,113237.0,-8576205.067635207,-1356212.8926501605,20,1.0
-77.03702757,-12.09182114,2019,San Isidro,HURTO,72905.0,-8575722.681319779,-1356160.0296494346,23,1.0
-77.05057265,-12.08785826,2019,San Isidro,HURTO,214299.0,-8577230.512728132,-1355708.8774881146,9,0.7866274052467946
-77.04948771,-12.08597976,2019,San Isidro,HURTO,252183.0,-8577109.73775979,-1355495.0228968698,-1,0.0
-77.0368307,-12.0925879,2019,San Isidro,HURTO,72885.0,-8575700.765851624,-1356247.321843418,24,0.6201988520151468
-77.05557362,-12.09306367,2019,San Isidro,HURTO,400631.0,-8577787.218162004,-1356301.4862541987,9,0.7013445567869077
-77.04666268,-12.09239401,2019,San Isidro,HURTO,70350.0,-8576795.256858714,-1356225.2483111275,-1,0.0
-77.04136089,-12.09150849,2019,San Isidro,HURTO,332124.0,-8576205.064295623,-1356124.4359181854,20,1.0
-77.04222787,-12.0924675,2019,San Isidro,HURTO,252181.0,-8576301.57606775,-1356233.6148257628,-1,0.0
-77.05497036,-12.09191096,2019,San Isidro,HURTO,214294.0,-8577720.063565988,-1356170.2552414604,-1,0.0
-77.03702757,-12.09182114,2019,San Isidro,HURTO,216521.0,-8575722.681319779,-1356160.0296494346,23,1.0
-77.04982564,-12.08975548,2019,San Isidro,HURTO AGRAVADO,290911.0,-8577147.355955312,-1355924.8647495527,9,1.0
-77.03708261,-12.09143292,2019,San Isidro,HURTO AGRAVADO,439856.0,-8575728.80834455,-1356115.8326355417,23,1.0
-77.04880679,-12.09220625,2019,San Isidro,HURTO AGRAVADO,304931.0,-8577033.93809212,-1356203.8726678994,9,0.7332565613522096
-77.03683104,-12.09294958,2019,San Isidro,HURTO AGRAVADO,72932.0,-8575700.803700252,-1356288.4975794083,24,1.0
-77.04982564,-12.08975548,2019,San Isidro,HURTO AGRAVADO,327362.0,-8577147.355955312,-1355924.8647495527,9,1.0
-77.03946285,-12.08995361,2019,San Isidro,HURTO AGRAVADO,145868.0,-8575993.775449317,-1355947.420765042,-1,0.0
-77.03683104,-12.09294958,2019,San Isidro,HURTO AGRAVADO,216554.0,-8575700.803700252,-1356288.4975794083,24,1.0
-77.03683104,-12.09294958,2019,San Isidro,HURTO AGRAVADO,216549.0,-8575700.803700252,-1356288.4975794083,24,1.0
-77.05157484,-12.09009863,2019,San Isidro,HURTO AGRAVADO,327361.0,-8577342.07600861,-1355963.9305084664,9,0.7929835690825269
-77.03875476,-12.09287417,2019,San Isidro,HURTO AGRAVADO,439858.0,-8575914.951231081,-1356279.9124657358,-1,0.0
-77.04026879,-12.09170679,2019,San Isidro,HURTO AGRAVADO,366313.0,-8576083.492279725,-1356147.011435211,-1,0.0
-77.04654413,-12.09277644,2019,San Isidro,HURTO DE VEHICULO,442595.0,-8576782.059933081,-1356268.7863168486,-1,0.0
-77.03702757,-12.09182114,2019,San Isidro,HURTO DE VEHICULO,329612.0,-8575722.681319779,-1356160.0296494346,23,1.0
-77.04072005,-12.09299137,2019,San Isidro,HURTO DE VEHICULO,329759.0,-8576133.726313142,-1356293.2551974826,-1,0.0
-77.0501054,-12.0876296,2019,San Isidro,ASALTO Y ROBO DE VEHICULOS,218180.0,-8577178.498696059,-1355682.846004695,-1,0.0
-77.0508367,-12.09186845,2019,San Isidro,ASALTO Y ROBO DE VEHICULOS,177027.0,-8577259.906639677,-1356165.4156739307,9,0.7268842822198168
-77.04996546,-12.08826376,2019,San Isidro,HURTO AGRAVADO EN CASA HABITADA,70371.0,-8577162.920646517,-1355755.0411329884,9,0.8389478260424302
-77.01924932,-12.09067664,2019,San Isidro,ROBO AGRAVADO,33233.0,-8573743.615582582,-1356029.7339127802,-1,0.0
-77.03384655,-12.09008546,2019,San Isidro,ROBO AGRAVADO,109478.0,-8575368.571793174,-1355962.4311747567,-1,0.0
-77.01936747,-12.09067444,2019,San Isidro,ROBO AGRAVADO,113285.0,-8573756.76798042,-1356029.4834540586,-1,0.0
-77.01936747,-12.09067444,2019,San Isidro,ROBO AGRAVADO,366335.0,-8573756.76798042,-1356029.4834540586,-1,0.0
-77.01367464,-12.09023892,2019,San Isidro,ROBO AGRAVADO,292939.0,-8573123.045043647,-1355979.9017754653,5,0.8913056831598405
-77.01936457,-12.09053541,2019,San Isidro,ROBO AGRAVADO,145886.0,-8573756.445153896,-1356013.6556055201,-1,0.0
-77.00986383,-12.09051747,2019,San Isidro,ROBO AGRAVADO,332310.0,-8572698.827614937,-1356011.613229634,6,0.6869254904830389
-77.00783761,-12.08960292,2019,San Isidro,ROBO AGRAVADO A MANO ARMADA,366342.0,-8572473.269836301,-1355907.496640395,6,0.6272658905051567
-77.01936747,-12.09067444,2019,San Isidro,ROBO AGRAVADO A MANO ARMADA,33234.0,-8573756.76798042,-1356029.4834540586,-1,0.0
-77.0093111,-12.08914551,2019,San Isidro,ROBO,439876.0,-8572637.29799279,-1355855.4231102944,6,1.0
-77.01217138,-12.08954479,2019,San Isidro,ROBO,439879.0,-8572955.702905918,-1355900.8788651745,5,0.7979237606719878
-77.0093111,-12.08914551,2019,San Isidro,ROBO,216573.0,-8572637.29799279,-1355855.4231102944,6,1.0
-77.03384655,-12.09008546,2019,San Isidro,ROBO,399435.0,-8575368.571793174,-1355962.4311747567,-1,0.0
-77.0093111,-12.08914551,2019,San Isidro,ROBO,33211.0,-8572637.29799279,-1355855.4231102944,6,1.0
-77.01217138,-12.08954479,2019,San Isidro,ROBO,434799.0,-8572955.702905918,-1355900.8788651745,5,0.7979237606719878
-77.01497318,-12.09007837,2019,San Isidro,ROBO,216569.0,-8573267.59785522,-1355961.6240163972,5,0.9356112416206348
-77.01936457,-12.09053541,2019,San Isidro,ROBO,292933.0,-8573756.445153896,-1356013.6556055201,-1,0.0
-77.01497318,-12.09007837,2019,San Isidro,ROBO,439884.0,-8573267.59785522,-1355961.6240163972,5,0.9356112416206348
-77.0093111,-12.08914551,2019,San Isidro,ROBO,329522.0,-8572637.29799279,-1355855.4231102944,6,1.0
-77.0093111,-12.08914551,2019,San Isidro,ROBO,72940.0,-8572637.29799279,-1355855.4231102944,6,1.0
-77.0093111,-12.08914551,2019,San Isidro,ROBO,366330.0,-8572637.29799279,-1355855.4231102944,6,1.0
-77.007651,-12.0888593,2019,San Isidro,HURTO,402667.0,-8572452.496506123,-1355822.8397729483,6,0.6235633857771413
-77.00986383,-12.09051747,2019,San Isidro,HURTO,144943.0,-8572698.827614937,-1356011.613229634,6,0.6869254904830389
-77.01936457,-12.09053541,2019,San Isidro,HURTO,216539.0,-8573756.445153896,-1356013.6556055201,-1,0.0
-77.0173999,-12.090354,2019,San Isidro,HURTO,72878.0,-8573537.73908992,-1355993.0030249015,5,1.0
-77.00995229,-12.09060342,2019,San Isidro,HURTO,145842.0,-8572708.674937092,-1356021.398192273,6,0.6871426352834923
-77.00810462,-12.08975598,2019,San Isidro,HURTO,434655.0,-8572502.993253538,-1355924.921671793,6,0.6871426352834923
-77.0174089,-12.09005354,2019,San Isidro,HURTO,402644.0,-8573538.740965337,-1355958.797254639,5,0.8380360990632243
-77.01038111,-12.08928992,2019,San Isidro,HURTO,72875.0,-8572756.410961134,-1355871.8633588285,6,1.0
-77.03384655,-12.09008546,2019,San Isidro,HURTO,109371.0,-8575368.571793174,-1355962.4311747567,-1,0.0
-77.007651,-12.0888593,2019,San Isidro,HURTO,33168.0,-8572452.496506123,-1355822.8397729483,6,0.6235633857771413
-77.03384655,-12.09008546,2019,San Isidro,HURTO AGRAVADO,329165.0,-8575368.571793174,-1355962.4311747567,-1,0.0
-77.03358038,-12.0906297,2019,San Isidro,HURTO AGRAVADO,33190.0,-8575338.941884309,-1356024.390034881,-1,0.0
-77.0173999,-12.090354,2019,San Isidro,HURTO AGRAVADO,72918.0,-8573537.73908992,-1355993.0030249015,5,1.0
-77.01217138,-12.08954479,2019,San Isidro,HURTO AGRAVADO,329512.0,-8572955.702905918,-1355900.8788651745,5,0.7979237606719878
-77.01217138,-12.08954479,2019,San Isidro,HURTO AGRAVADO,33183.0,-8572955.702905918,-1355900.8788651745,5,0.7979237606719878
-77.01038111,-12.08928992,2019,San Isidro,HURTO AGRAVADO,254348.0,-8572756.410961134,-1355871.8633588285,6,1.0
-77.01538102,-12.09036571,2019,San Isidro,HURTO DE VEHICULO,292930.0,-8573312.998396348,-1355994.3361467926,5,0.8913056831598405
-77.01433819,-12.10162894,2019,San Isidro,ROBO AGRAVADO,329528.0,-8573196.911091764,-1357276.6226584762,1,1.0
-77.03750122,-12.10218371,2019,San Isidro,ROBO AGRAVADO,72961.0,-8575775.407796592,-1357339.7830319859,18,0.41959714046751934
-77.01674956,-12.09271985,2019,San Isidro,ROBO AGRAVADO,439667.0,-8573465.343572276,-1356262.34378555,4,1.0
-77.03060045,-12.09702939,2019,San Isidro,ROBO AGRAVADO,86280.0,-8575007.21759411,-1356752.9705241092,-1,0.0
-77.01554446,-12.10224092,2019,San Isidro,ROBO AGRAVADO,406754.0,-8573331.19245392,-1357346.2963782486,1,1.0
-77.0421522,-12.10570986,2019,San Isidro,ROBO AGRAVADO A MANO ARMADA,70385.0,-8576293.152521882,-1357741.2370613434,-1,0.0
-77.03070036,-12.10056382,2019,San Isidro,ROBO AGRAVADO A MANO ARMADA,249431.0,-8575018.339524435,-1357155.3594807049,-1,0.0
-77.03515501,-12.09876673,2019,San Isidro,ROBO AGRAVADO A MANO ARMADA,146761.0,-8575514.228894098,-1356950.7631185956,-1,0.0
-77.03305511,-12.10527183,2019,San Isidro,ROBO AGRAVADO A MANO ARMADA,267857.0,-8575280.469095381,-1357691.3668275757,-1,0.0
-77.03980326,-12.09345531,2019,San Isidro,ROBO AGRAVADO A MANO ARMADA,329531.0,-8576031.669717178,-1356346.0728911061,19,1.0
